Gender,Education,Life Expectancy,Avg. Income,Country,Continent
Total,9.50,61.00,540,Afghanistan,Asia
Male,11.60,62.50,0,Afghanistan,Asia
Female,7.20,59.70,0,Afghanistan,Asia
Total,13.10,76.60,5240,Albania,Europe
Male,13.00,79.30,0,Albania,Europe
Female,13.60,74.10,0,Albania,Europe
Total,14.00,74.90,3970,Algeria,Africa
Male,13.80,76.20,0,Algeria,Africa
Female,14.20,73.80,0,Algeria,Africa
Total,11.70,80.80,0,Andorra,Europe
Male,,58.00,0,Andorra,Europe
Female,,52.80,0,Andorra,Europe
Total,8.60,55.40,3050,Angola,Africa
Male,9.90,77.10,0,Angola,Africa
Female,7.50,74.40,0,Angola,Africa
Total,12.90,75.80,16660,Antigua and Barbuda,North America
Male,12.80,78.60,0,Antigua and Barbuda,North America
Female,13.10,71.80,0,Antigua and Barbuda,North America
Total,17.10,75.30,11200,Argentina,South America
Male,16.10,76.40,0,Argentina,South America
Female,18.10,70.00,0,Argentina,South America
Total,13.10,73.30,4680,Armenia,Europe
Male,12.80,84.10,0,Armenia,Europe
Female,13.40,79.80,0,Armenia,Europe
Total,19.80,81.90,54910,Australia,Oceania
Male,19.20,83.20,0,Australia,Oceania
Female,20.30,77.90,0,Australia,Oceania
Total,16.00,80.60,51300,Austria,Europe
Male,15.40,74.10,0,Austria,Europe
Female,15.90,67.80,0,Austria,Europe
Total,11.20,70.90,4480,Azerbaijan,Europe
Male,11.50,74.60,0,Azerbaijan,Europe
Female,11.00,69.60,0,Azerbaijan,Europe
Total,12.50,72.10,31780,Bahamas,North America
Male,,77.10,0,Bahamas,North America
Female,,75.30,0,Bahamas,North America
Total,13.50,76.10,22110,Bahrain,Asia
Male,12.90,71.30,0,Bahrain,Asia
Female,14.10,68.70,0,Bahrain,Asia
Total,9.20,69.90,1940,Bangladesh,Asia
Male,9.10,79.80,0,Bangladesh,Asia
Female,9.40,76.80,0,Bangladesh,Asia
Total,15.50,78.40,17380,Barbados,North America
Male,14.10,76.60,0,Barbados,North America
Female,16.80,65.10,0,Barbados,North America
Total,15.50,70.80,6280,Belarus,Europe
Male,14.90,82.70,0,Belarus,Europe
Female,16.10,77.40,0,Belarus,Europe
Total,19.10,80.10,47350,Belgium,Europe
Male,18.10,74.70,0,Belgium,Europe
Female,20.00,69.60,0,Belgium,Europe
Total,12.40,72.10,4450,Belize,North America
Male,12.20,60.70,0,Belize,North America
Female,12.70,57.90,0,Belize,North America
Total,11.00,59.30,1250,Benin,Africa
Male,12.30,68.60,0,Benin,Africa
Female,9.00,68.20,0,Benin,Africa
Total,11.50,68.40,2970,Bhutan,Asia
Male,11.50,70.50,0,Bhutan,Asia
Female,11.60,65.60,0,Bhutan,Asia
Total,13.80,68.00,3530,Bolivia,South America
Male,14.10,78.50,0,Bolivia,South America
Female,13.50,73.50,0,Bolivia,South America
Total,13.40,76.00,6150,Bosnia and Herzegovina,Europe
Male,13.00,62.60,0,Bosnia and Herzegovina,Europe
Female,13.80,57.80,0,Bosnia and Herzegovina,Europe
Total,12.30,60.20,7660,Botswana,Africa
Male,12.20,77.40,0,Botswana,Africa
Female,12.40,70.00,0,Botswana,Africa
Total,14.00,73.60,9130,Brazil,South America
Male,13.50,75.90,0,Brazil,South America
Female,14.40,73.70,0,Brazil,South America
Total,14.10,74.70,32230,Brunei Darussalam,Asia
Male,13.90,77.30,0,Brunei Darussalam,Asia
Female,14.40,70.30,0,Brunei Darussalam,Asia
Total,14.40,73.70,9410,Bulgaria,Europe
Male,14.20,57.60,0,Bulgaria,Europe
Female,14.70,56.40,0,Bulgaria,Europe
Total,6.70,57.10,790,Burkina Faso,Africa
Male,7.20,59.00,0,Burkina Faso,Africa
Female,6.20,55.50,0,Burkina Faso,Africa
Total,10.50,57.20,280,Burundi,Africa
Male,11.00,74.60,0,Burundi,Africa
Female,9.90,67.30,0,Burundi,Africa
